text,hashtags,duration,date,url,commentsCount,viewCount,title,numberOfSubscribers,channelName,likes,topic
Broadcasted live on Twitch - Watch live at   / minibo0  ,,04:36:05,2025-05-04,https://www.youtube.com/watch?v=R_KYqGjxhkk,0,23,Heretics MiniBoo | Ranked | Latest yt vid - !vid | !nextofficial,8,Valorant Vods,2,"""Seasonal Style"""
"Welcome to my channel❤️

IGN - SRxDeadSHOT
I’d- 51399292523
Device - Iphone 13

Insta- https://instagram.com/ig_deadshot8638...

Subscribe Please ♥️…….


#BGMIEsports
#PUBGTournament
#BGMIProPlayer
#ClutchGod
#GodlikeEsports
#SoulvsGodlike
#BGMIClutch
#BGMIIndiaKaGame
#BGMIisBack
#BGMI2025
#IndianGamers
#BGMIUnban","#BGMIEsports, #PUBGTournament, #BGMIProPlayer",00:05:23,2025-05-28,https://www.youtube.com/watch?v=ciZhcfbQvXw,3,21,Grinding For Next Official || Iphone 13 || Deadshot Gaming,57,Deadshot Gaming,5,"""Everyday Style"""
"This is a cozy adventure and puzzle solving game where you play as a young girl, in the 1970's of France. Together with your pet rat which is also your best friend, you escape an evil orphanage, go on a journey to find your parents and along the way you solve puzzles and stealth past enemies.

Play the demo right now: https://store.steampowered.com/app/35...

Join the Dandelion Developers Discord! -   / discord  
Wishlist the game - https://store.steampowered.com/app/31...",,00:01:11,2025-02-19,https://www.youtube.com/watch?v=T48dkXyVaZc,6,195,What Comes Next - Official Demo Trailer,52,Dandelion Developers,16,"""Everyday Style"""
Tribute Video ️  #Longlivenyah #justicefornyah,,00:02:51,2025-01-18,https://www.youtube.com/watch?v=OtaX5fYxLxM,20,3346,Nyah Jordan - Up Next Official Video (Shot by Devprodfilms) #Longlivenyah #Justice4Nyah,111,Nyah Jordan,128,"""Everyday Style"""
"FattMack - What's Next [Official Visualizer]
Stream/Download:  https://fattmack.ffm.to/heretostay

Follow FattMack:
Instagram:   / fattmack_  
Tik Tok:   / fattmack223  
Spotify: https://open.spotify.com/artist/3L9uB...
Apple Music:   / fattmack  ",,00:02:19,2025-04-04,https://www.youtube.com/watch?v=9PBacFSWrwk,28,73325,FattMack - What's Next [Official Visualizer],85300,FattMack,1200,"""Everyday Style"""
"FullyChop - Who Next (Official Music Video) 

This video is a creative work of fiction. Based on available information, the uploader of this video understands that any firearm depicted should be a prop and not a real weapon. 

Subscribe for more content from FullyChop: 
https://fullychop.lnk.to/subscribe

Follow FullyChop
Instagram   / fullyyyychopppp  
Tik Tok   / fullyyychop  
Twitter https://x.com/fullyychop

#FullyChop #WhoNext #Chicago","#FullyChop, #WhoNext, #Chicago",00:02:09,2025-04-23,https://www.youtube.com/watch?v=kZ9H-I_0Xxg,648,380116,FullyChop - Who Next (Official Music Video),58900,FullyChop,8900,"""Everyday Style"""
"Official video for ''Next'' by FTR$
Listen now: https://ffm.to/chillout777

''Chill Out'' new album 14/03

Follow FTR$
  / 7frmusic  
https://linktr.ee/7frmusic18
  / 7frmusic  
  / ftr%24  
https://open.spotify.com/artist/0OqtJ...

directed by 7FRMusic

►Subscribe to FTR$ on YouTube:    / @7frmysic  


#ftr$ #7frmusic #next #musicvideo

Music video by FTR$ performing ''Next''. © 2025 7FRMusic Records","#ftr, #musicvideo, #next",00:01:06,2025-01-10,https://www.youtube.com/watch?v=5IgooDNboY4,1,172,"FTR$, VIKSOT - Next (Official Video)",206,FTR$,99,"""Everyday Style"""
"Track No.2 Onto the Next
Album: OFF DA BACKENND
Stream: https://distrokid.com/hyperfollow/cyr...
Producer: ‪@YUNGBLAKE‬ 

Connect with Cyrup King:
https://www.instagram.com/cyrup_king?... 
https://x.com/Cyrup_King?t=IFln9QugRa...
https://www.tiktok.com/@cyrupking?_t=...

#CyrupKing #OFFDABACKEND","#CyrupKing, #OFFDABACKEND",00:02:50,2024-12-12,https://www.youtube.com/watch?v=Fd6iuLNm7wI,0,126,Cyrup King Ft Kosti Mgaza -  On to the Next(Official Audio),1250,Cyrup king,16,"""Everyday Style"""
"Shot and Produced by Ilovewatchingu -   / ilovewatchingu  
Edited by Barcode",,00:01:43,2025-02-05,https://www.youtube.com/watch?v=LAUYHJ5iAxw,2,57,Who Next?  (Official Music Video),53,DESIRABLE!,6,"""Everyday Style"""
"This single is here to mark LJ's Life through South London, a total of 8 years returning to reflect about it in the countryside.

Shot By: Chivision
   / @chiivision   
Edited By: Myself

DISCLAIMER: The views presented in this song are for entertainment purposes only.

Instagram:   / ceo_lj  
Instagram:   / chiivision  
Spotify: https://open.spotify.com/artist/3DhNb...
Apple Music:   / lewis-lj-king  

Like  
Subscribe 
share ♻️

#freestyle #ukrap #dankmemes #follow #ukrap #LondonRapper #UKGov #PoliticalSong #Truth #UKUnderground #UKRapScene #UKFreestyle #BackToBiz #SouthLondon #CantBanDogs #XLBully #DefendTheNation #FreedomOfSpeech #Articulate #Rap #Trap #HipHop #Drill #UKTrap #UKHipHop #NewMusic #released",,00:02:03,2024-12-17,https://www.youtube.com/watch?v=6bjDmVh4czw,7,250,LJ - What's Next [OFFICIAL VIDEO] | #UKRAP,2090,ITSLJ,15,"""Everyday Style"""
"This life is so corrupt, I just want more stuff, instead of suffering, I wanna live life on both sides like a checker board, 


and really I’m bored, and sick of a basic life, I want a better life, I want a pleasant night, I want to feel like I’m right, for putting my all into this music, but even through all the music, 


I just want to be happy, as a kid I’d always wonder what it’s like to be happy, and as an adult I can imagine what it’s like to be happy, but I sip away hoping I achieve that feeling, 


and as I’m healing, I just want a sound that’s appealing, and I want money through the ceiling, 


I want joy through the ceiling, I want everything I ask for, not to sound too greedy, but I, still want it all, and if I fall, well at least I tried, 


I want a new stride, but this life’s a ride, and I’m waiting for my stop, I make so much music, that I wonder if I’ll ever stop, 


but I just wanna make it to the top, I wanna ball till I drop, I want strict authority like a cop, and I won’t stop, until I’ve claimed my spot, see this might not seem like a lot, 


but I’ve created a movement, and if I can move ment, they I’ll be sent, straight to success, this pain breaks my chest, but still I flow like I’m at my best, more wealth, 


my answer is yes, more vacations, my answer is yes, I often need rest, because of the things I take straight to the chest, I often feel like I’m hexed, what more can I confess, but if I’m being honest, all I want is more, context

Hook: What do I do next? What more can I confess? What door should I take next, what do I do next?",,00:01:28,2025-03-12,https://www.youtube.com/watch?v=fDiB4MTdLmM,0,29,XR - NEXT (OFFICIAL AUDIO),538,TTXRH,0,"""Everyday Style"""
Broadcasted live on Twitch - Watch live at   / minibo0  ,,01:59:05,2025-05-11,https://www.youtube.com/watch?v=9VPTC3R_KzI,0,23,Heretics MiniBoo | QUALED TO TORONTO! | Latest yt vid - !vid | !nextofficial (4/4),8,Valorant Vods,0,"""Seasonal Style"""
,,00:02:21,2025-05-02,https://www.youtube.com/watch?v=TBc4y-KJ_Co,0,11,Up Next (Official Music Video),2,nazaire,1,"""Fashion Trends"""
"A fire rap track about X Musk, the son of Elon Musk and the future heir to the tech empire!  With hard-hitting beats and powerful lyrics, this song paints a vision of X’s destiny—combining AI, innovation, and ambition to take his father’s legacy to the next level.

From Tesla to SpaceX, from crypto to Mars, X isn’t just a name—he’s the force shaping the future! 

 Get ready for the sound of the next generation, where rap meets the future! 

#XMusk #ElonMusk #FutureKing #SpaceX #Tesla #Neuralink #RapTrend","#Neuralink, #ElonMusk, #SpaceX",00:01:59,2025-02-13,https://www.youtube.com/watch?v=U2crJwG5n9s,2,37,"I’m X, I’m next (Official Music Video)",7,RapGG,5,"""Everyday Style"""
"lil cloud - who next? (official audio)
produced by lil cloud

stream and listen to “Me vs The world” on all platforms

#lilcloud #mevstheworld #whonext","#whonext, #lilcloud, #mevstheworld",00:01:51,2025-01-12,https://www.youtube.com/watch?v=_dTlYSlanBU,1,48,lil cloud - who next? (official audio),63,lil cloud,3,"""Everyday Style"""
thx to me as always!!!,,00:01:39,2024-12-13,https://www.youtube.com/watch?v=v0jNDkAB9NA,0,88,ncts - NEXT!  Official Music | Bass Boosted,1490,Lazy Nation,3,"""Everyday Style"""
#liahmariee #ontothenext #music #trending #shorts #reels #viralvideo,,00:03:31,2025-05-17,https://www.youtube.com/watch?v=mDWlJQ5I2eI,0,2,Liah Mariee - On To The Next (Official Audio),0,Liah Mariee,0,"""Everyday Style"""
"y o u t u b e . c o m /watch?v=7chjXQx6Ktc&rco=1

cool channels:

y o u t u b e . c o m / @ V a n o s s G a m i n g
y o u t u b e . c o m / @ D o n u t O p e r a t o r
y o u t u b e . c o m / @ L u n a
y o u t u b e . c o m / @ N a d e s h o t
y o u t u b e . c o m / @ S c u m p i i
y o u t u b e . c o m / @ S S S n i p e r W o l f
t w i t c h . t v / g i r l 2 c l u t c h
t w i t c h . t v / s o m m e r s e t
t w i t c h . t v / x k e n z i i e

i'd like to upload to the pirate bay, ""purplecrayola's top 10 music videos"", comes
in mkv video format",,00:03:28,2025-04-15,https://www.youtube.com/watch?v=qfKc_LOqc_k,0,21,"ariana grande - thank u, next (oFFiCIaL aUDiO) / ~HARD~",9,PURPLECRAYOLA,1,"""Everyday Style"""
"  / zo-f-o-e  
https://open.spotify.com/artist/1lYlq...
https://linktr.ee/zof.o.e

Zo F.O.E’s Music Videos:    • Zo F.O.E's Music Videos  

   • Love Letters  

   • “She My Forever” The Album ♾️  

Follow Zo F.O.E On Social Media Platforms:

https://www.snapchat.com/add/zo1foe?i...

https://x.com/zopskii?s=21

https://www.instagram.com/pwayrecords...

https://www.instagram.com/zof.o.e?igs...

https://www.facebook.com/share/1Bou3Z...",,00:02:25,2025-03-09,https://www.youtube.com/watch?v=-gu01ftPDV4,0,13,Zo P. - Up Next (Official Audio),78,Zo IV,2,"""Everyday Style"""
"Hello and welcome to THE ONE's YouTube channel.

THE One offers a wide range of remixes, songs and exclusive videos such as magic and stuff that THE ONE discovered during a time travel.

Don't forget to subscribe to THE ONE and leave a comment or like.

Spotify:

https://open.spotify.com/artist/3MvEC...

iTunes:

  / the-one  

Website:
www.theonemusic.nl
www.steppingstones-events.com",,00:01:43,2025-02-25,https://www.youtube.com/watch?v=uEDxCYuRzp8,0,32,THE ONE - Sexy You're Next (OFFICIAL LYRIC VIDEO),1110,The One,0,"""Everyday Style"""
"MattGic LeKeith ""Up Next""

Follow MattGic:

~Subscribe:    / @mattgiclekeith  

Instagram:   / mattgic_lekeith  


#upcomingartist #newmusic2023 #mississippiartist #memphisrapper #youtuberapper #mattgiclekeith","#upcomingartist, #newmusic2023, #mississippiartist",00:02:48,2024-12-19,https://www.youtube.com/watch?v=BDaRgi3Gujc,0,61,MattGic LeKeith - Up Next (official audio),280,MattGic LeKeith,1,"""Everyday Style"""
,,00:02:35,2024-12-13,https://www.youtube.com/watch?v=PNT89xY3i9M,0,24,NOVA HMDRIX X NEXT OFFICIAL LYRIC VIDEO,58,Jodii Bixx Official YouTube Channel,2,"""Fashion Trends"""
,,00:00:09,2025-05-10,https://www.youtube.com/watch?v=PGTTEu1-BEw,0,331,Spring and Summer ootd ☀️ feat‪@zara‬ Next #fashion #zaraspring #springfashion,410,CC,0,"""Fashion Trends"""
Discover Unique Thrift Finds & Fashion Gems! #thrifthaul #thriftfinds #thriftedfashion #bridaldress,,00:00:07,2025-05-05,https://www.youtube.com/watch?v=4jUENoU8nC8,0,3085,Thrifting Gems: Your Next Fashion Inspo! #thrifthaul #fok,47,Bailey Anderson,7,"""Seasonal Style"""
,,00:00:22,2025-01-12,https://www.youtube.com/watch?v=wIfdTRKtC04,6,2004,Trending bow  #shorts#next #fashion#ootd#style#styling #viralshort #trendingshorts #fyp #explore,275,ᴠᴏʜɪꜱʜᴀ,34,"""Fashion Trends"""
,,00:00:21,2025-04-10,https://www.youtube.com/watch?v=h5ou23Ty0hQ,0,58,""" Unbelievable Thrift Dresses for Sale!Discover Your Next Fashion Treasure#junaidjamshed #beautiful",1260,fashion trends3798,0,"""Fashion Trends"""
,,00:00:14,2025-03-29,https://www.youtube.com/watch?v=fajWHkBazTU,1,163,#cmg#next#fashion #booknow #hyderabad,177,Varda's indian ethnic wear,4,"""Fashion Trends"""
"Luis Garcia, Frank Leboeuf, Alejandro Moreno and Steve Nicol join Kay Murray on ESPN FC to discuss the links between Marcus Rashford & Barcelona and weather or not he'd be a good fit with the LALIGA Champions.

✔ Subscribe to ESPN+: http://espnplus.com/soccer/youtube
✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC",,00:07:31,2025-05-28,https://www.youtube.com/watch?v=vUe7-jI2ekg,595,47323,Marcus Rashford to Barcelona?!  'I'm not sure' he'll be a good team player! - Luis Garcia | ESPN FC,4660000,ESPN FC,968,"""Everyday Style"""
"Want to learn the foundations of growing cut flowers? Join my Growing Cut Flowers Foundation Course: 
https://www.bloomandgray.co.uk/online...

Thank you for watching my latest video! My name is Sarah and I've been flower farming since 2017, I love sharing the highs and lows with you here on YouTube!

 Subscribe for more gardening tips, flower farming advice, and seasonal planting guides!


☕ If you get value from my videos then you can buy me a coffee to show your appreciation. I appreciate all of your support!
https://www.buymeacoffee.com/bloomand...

Find out more:
↠ Instagram:   / bloomandgray  
↠ Facebook:   / bloomandgray  
↠ Website: https://www.bloomandgray.co.uk​​​
↠Email: sarah@bloomandgray.co.uk",,00:04:11,2025-05-25,https://www.youtube.com/watch?v=Yjxv-jLj0dg,174,15894,An Explanation For My Absence (What Next?),43900,Bloom & Gray - Flower Farm,1600,"""Everyday Style"""
"On ESPN FC, Kay Murray is joined by Luis Garcia, Steve Nicol, Ale Moreno and Frank Leboeuf to discuss Thierry Henry’s comments on Mikel Arteta, Arsenal’s urgent need for a striker and potential transfer targets like Benjamin Sesko and Martin Zubimendi.

0:00 Responding to Thierry Henry on Mikel Arteta
3:25 Arsenal need a striker!
5:46 Frank Leboeuf on Thierry Henry
7:15 Benjamin Sesko's fit with Arsenal
9:20 What does Martin Zubimendi bring for Arsenal?

✔ Subscribe to ESPN+: http://espnplus.com/soccer/youtube
✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC

#espnfc #espn #arsenal","#espnfc, #espn, #arsenal",00:14:01,2025-05-28,https://www.youtube.com/watch?v=TqBD6v3crBQ,535,56905,ARSENAL'S WINDOW IS CLOSING  Ale Moreno's WARNING to Arteta + Sesko & Zubimendi's fit | ESPN FC,4660000,ESPN FC,770,"""Everyday Style"""
"Feeling Spring vibes with this Next haul!

Mono Gingham Strappy Tie Front Midi Dress: https://www.next.co.uk/style/su537789...

Pink Sea Patterned Colourful Knitted Cardigan: https://www.next.co.uk/style/su457326...

Red/Pink Stripe Girlfriend Oversized Long Sleeve: https://www.next.co.uk/style/su369702...

Red 100% Cotton Short Sleeve Pyjamas: https://www.next.co.uk/style/su652863...

Navy 100% Cotton Beaded Graphic Embellished T-Shirt:
https://www.next.co.uk/style/su485035...

Ecru Artist Editions Frankie Thorp X Next Hand Painted Negroni Cocktail: https://www.next.co.uk/style/su608902...

Red Gingham Puff Sleeve Knitted Tank Layer Jumper: https://www.next.co.uk/style/su455306...

DISCOUNT CODES:
** Sephora UK 15% off: BECKYSPH **
**YesStyle: BECKYR5 **

I'm a UK size 24 (but wear between a 22 and 26 UK) 
A UK 24 works out at a US 20.
I'm 5""6, I hope this helps everyone! 

If you enjoyed this video, then please like and subscribe! 

FOLLOW ME ON: 
Instagram: @beccareyn
Depop: @beccareyn
Tiktok: @beccareyn
LiketoKnowit: @beccareyn

EVERYDAY FAVES:
**Bra: https://tidd.ly/3laO9OL
**2 pack: https://tidd.ly/3bCpM9H
**Mom jeans: https://rstyle.me/+is3egnwkt-rdX1Jqw2... or https://rstyle.me/+Msvss23T0791Jd3e_e...

Business enquiries: beckyreynolds94@gmail.com
www.greenl.ink/u/Beccareyn

**These links are affiliated, meaning I may make a small commission from the sale of the item if bought through my links. This helps me keep making videos - especially haul videos (these are so expensive!!) as well as upgrading my equipment. Your support means the world to me! Thank you.",,00:23:16,2025-03-27,https://www.youtube.com/watch?v=MxcxtYewBRg,48,8326,WOW! NEXT HAUL | plus size fashion try on | SUPER CUTE SPRING FINDS! 2025,23800,Becky Reynolds,566,"""Seasonal Style"""
"Axios' Jim VandeHei discusses new warnings from Dario Amodei, CEO of AI company Anthropic on how artificial intelligence could wipe out half of all entry-level white-collar jobs.

For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC:    / msnbc  
» Subscribe to MSNBC on TikTok   / msnbc   
» Subscribe to MSNBC on Instagram   / msnbc   
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/dow...

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog

MSNBC delivers breaking news, in-depth analysis of political headlines, commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, The Briefing with Jen Psaki, Morning Joe, The Beat, Deadline: White House, The Weeknight, All In, The Last Word, The 11th Hour, and more.

Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc...

#AI #ArtificialIntelligence #Jobs","#AI, #ArtificialIntelligence, #Jobs",00:08:03,2025-05-28,https://www.youtube.com/watch?v=OKCD2dmcjsQ,2004,259936,"A 'white-collar bloodbath': AI could wipe out half of all entry-level white-collar jobs, CEO warns",8670000,MSNBC,3600,"""Everyday Style"""
