text,created_time,hashtags,shareCount,mentions,commentCount,playCount,collectCount,diggCount,num_mentions,topic
“We’ll be We’ll be next tide！”「NexT1DE」Dance Challenge    #NexT1DE #NexT1DEchallenge,2025-05-06,"next1de, next1dechallenge",557,,345,59800,853,13400,0,"""Everyday Style"""
Look at what my brothers are doing！ #next1de ,2025-04-22,next1de,785,,563,168400,1609,34700,0,"""Seasonal Style"""
See you nextime in Bangkok~ and hello FoShan#NexT1DE ,2025-04-30,next1de,659,,480,191800,1851,43300,0,"""Everyday Style"""
"Don’t sleep,get up and work. #next1de ",2025-04-23,next1de,350,,283,104600,848,16200,0,"""Everyday Style"""
✖️7️⃣ by  #next1de ,2025-04-25,next1de,148,,153,63600,582,10800,0,"""Seasonal Style"""
4.12 The first stage of NexT1DE in China Hainan #next1de #waterbombhainan ,2025-04-08,"next1de, waterbombhainan",4037,,2264,1800000,7685,141500,0,"""Everyday Style"""
"Cola NEXT – The Anthem of the New Generation! Packed with passion, energy, and unstoppable vibes! Ali Azmat takes the wheel alongside Pakistan’s youth, fueling the spirit of pride, unity, and everything that makes us NEXT. This is more than an anthem—it’s a movement for the next generation! #ColaNext #KyunKeColaNextHaiPakistani #BePakistaniBuyPakistani #AliAzmat #HamzaAliAbbasi #ColaNextPakistan #NextLevel",2025-04-15,"colanext, kyunkecolanexthaipakistani, bepakistanibuypakistani, aliazmat, hamzaaliabbasi, colanextpakistan, nextlevel",2927,,1876,9300000,7371,231800,0,"""Everyday Style"""
congrats to 25!! #bittersweet #graduation #ribs #classof2025 #foryoupage #fypシ ,2025-05-28,"bittersweet, graduation, ribs, classof2025, foryoupage, fypシ",362,,31,46700,337,7622,0,"""Summer Trends"""
"Silence after a bad game isn’t  necessarily pouting… At every level, I would stay silent from time to time, in my own head. I learned to verbalize my thoughts. Talking through a bad game with my dad always helped me and continues to help me move on, faster.  #baseballmom #baseballdad #baseballlife ",2025-05-26,"baseballmom, baseballdad, baseballlife",8999,,404,454100,5852,35100,0,"""Everyday Style"""
YG NEXT MONSTER - Evelli  Official Instagram: @evelliygofficial  #ygentertainment #yg_next_monster #evelli ,2025-05-27,"ygentertainment, yg_next_monster, evelli",1612,,1024,299800,2229,23200,0,"""Everyday Style"""
#NCTWISH ‘s #dalengdaledancechallenge #NCTWISH #LOGin #NCTWISH_LOGin #NCTWISH_ASIA_TOUR #MANILA ,2025-04-12,"nctwish, dalengdaledancechallenge, nctwish, login, nctwish_login, nctwish_asia_tour, manila",40100,,12100,5600000,56400,964600,0,"""Style Academy"""
I think this is my best work yet.. NEXT HAUL ️☀️@Next #nexthaul #summerhaul #holidayoutfithaul #dopaminedressing ,2025-05-14,"nexthaul, summerhaul, holidayoutfithaul, dopaminedressing",437,@Next,129,278000,1393,9301,1,"""Seasonal Style"""
"Who new that @Next had some absolute gems, new in for the girlies!!✨ #nextfashion #nexthaul #springoutfit ad gifted ",2025-04-12,"nextfashion, nexthaul, springoutfit",6,@Next,6,19400,27,258,1,"""Seasonal Style"""
"NEXT HAUL!!️ @Next have some seriously cute pieces in from summer, these are the bits I picked up!  Pt2 soon for swimwear! #fashiontiktok #fashion #outfitinspo #outfitinspiration #ootd #outfitoftheday #outfitofthedayinspo #outfit #summer #summeroutfit #summeroutfitinspo #outfit #haul #shoppinghaul #tryonhaul #nexthaul ",2025-05-13,"fashiontiktok, fashion, outfitinspo, outfitinspiration, ootd, outfitoftheday, outfitofthedayinspo, outfit, summer, summeroutfit, summeroutfitinspo, outfit, haul, shoppinghaul, tryonhaul, nexthaul",61,@Next,17,29900,178,1110,1,"""Seasonal Style"""
An honest review of everything I liked in @Next today  #midsizefashion #next #nexthaul #tryon #tryonhaul #outfit #size12 #size14 #realistic ,2025-05-14,"midsizefashion, next, nexthaul, tryon, tryonhaul, outfit, size12, size14, realistic",97,@Next,85,73300,228,1848,1,"""Seasonal Style"""
I seriously want every single piece  @Next #next #nexthaul #newin #newinnext #summerhaul #summerclothes #summerhaul #summercolors #summer2024 ,2025-05-21,"next, nexthaul, newin, newinnext, summerhaul, summerclothes, summerhaul, summercolors, summer2024",10,@Next,6,2579,19,149,1,"""Seasonal Style"""
NEXT has the besttttt baby / toddler boy clothes right now ✨ #next #nexthaul #zara #babyboy #boyclothes #babyboyclothes #toddlerboy #baby #pregnant #boymom #toddlerboyclothes #babyboyclotheshaul #clotheshaul #babyboyhaul #shopping #haul @Next ,2025-03-26,"next, nexthaul, zara, babyboy, boyclothes, babyboyclothes, toddlerboy, baby, pregnant, boymom, toddlerboyclothes, babyboyclotheshaul, clotheshaul, babyboyhaul, shopping, haul",21,@Next,16,6413,34,86,1,"""Seasonal Style"""
Graphic Tee’s of dreams  ☁️✨ @Next  #graphictees #tshirt #next #nexthaul ,2025-05-24,"graphictees, tshirt, next, nexthaul",359,@Next,15,58200,214,1454,1,"""Seasonal Style"""
@Next I see you and I am IMPRESSED #nextkids #nexthaul ,2025-03-18,"nextkids, nexthaul",251,@Next,80,408300,313,12900,1,"""Seasonal Style"""
NEXT ️DELIVERY DAY️  I think this will be fav spring/summer dress this year✨ @Next  #scottish #deliveryday #tryon #tryonhaul #nexthaul #fyp #xyzabc ,2025-04-25,"scottish, deliveryday, tryon, tryonhaul, nexthaul, fyp, xyzabc",134,@Next,89,234800,246,10800,1,"""Seasonal Style"""
The @Next girls wear section will forever be my favourite for cuteness!  #next #nextgirlscollection #newinnext #nextnewin #nextbabyclothes #nexthaul #nextbabyfinds #girlmummy #girlmumma #girlmum #girlswear #girlssummeroutfit #babyoutfits #summerbaby #babyclothes #nextshopping ,2025-04-01,"next, nextgirlscollection, newinnext, nextnewin, nextbabyclothes, nexthaul, nextbabyfinds, girlmummy, girlmumma, girlmum, girlswear, girlssummeroutfit, babyoutfits, summerbaby, babyclothes, nextshopping",868,@Next,34,39400,167,1633,1,"""Seasonal Style"""
You know you’re thirty when next and M&S are your favourite places to shop . So many lovely bright pieces for summer! #next #clothinghaul #summer2025 #fashion #fashionhaul ,2025-05-07,"next, clothinghaul, summer2025, fashion, fashionhaul",1091,,35,81700,1043,4902,0,"""Seasonal Style"""
@Next The best clothes for baby’s/toddlers! I’m obsessed #fyp #minihaul #toddlerclothes #mumsoftiktok #pregnant #next #summer #boysclothes ,2025-05-23,"fyp, minihaul, toddlerclothes, mumsoftiktok, pregnant, next, summer, boysclothes",21,@Next,40,711,13,78,1,"""Seasonal Style"""
Next baby clothes haul  @Next #fyp #next #babyclothes #baby #trend #babyclothes #pregnancy #pregnant #haul #nexthaul ,2025-04-13,"fyp, next, babyclothes, baby, trend, babyclothes, pregnancy, pregnant, haul, nexthaul",9,@Next,38,41800,23,1232,1,"""Seasonal Style"""
3 cheap shoes you should add to your next haul  W or L?  #haul #unboxing #drip #clothes #fashion #streetwear #oldmoney #outfit #fitinspiration #cheap #finds #CapCut #sneaker #shoes #summer ,2025-04-15,"haul, unboxing, drip, clothes, fashion, streetwear, oldmoney, outfit, fitinspiration, cheap, finds, capcut, sneaker, shoes, summer",89,,33,24000,434,1446,0,"""Seasonal Style"""
"@Next try on haul, so many lovely summer pieces in atm! ☀️ #next #nextfashion #nexttryon #nexttryonhaul #onthehangervsonme #nextfashion #newinnext ",2025-05-13,"next, nextfashion, nexttryon, nexttryonhaul, onthehangervsonme, nextfashion, newinnext",723,@Next,67,109100,864,3503,1,"""Seasonal Style"""
Part 7| 5 Budget shoes you need in your next dhg haul! #fyp #dhg #sneakerhaul #sneakers #sneakerhead #budgetfinds,2025-04-04,"fyp, dhg, sneakerhaul, sneakers, sneakerhead, budgetfinds",12,,21,16900,117,538,0,"""Style Finds"""
Obsessed with it all  @Next here for the stripy trouser trend  #girl #girlfashion #styleinspo #fyp #shoppinghaul #nextfashion #nextnewin #nexthaul #babyclothes #foryouu #momlife #momlifebelike #tiktokviralvideos #next #girlmom #babyfever #girlythings #fashiontiktok #toddlermom #mommyandme #babystyle #fyp #girlsclothing #pregnanttiktok #girlsdress #pregnantlife #OOTD #babylove #foryoupage❤️❤️ ,2025-02-19,"girl, girlfashion, styleinspo, fyp, shoppinghaul, nextfashion, nextnewin, nexthaul, babyclothes, foryouu, momlife, momlifebelike, tiktokviralvideos, next, girlmom, babyfever, girlythings, fashiontiktok, toddlermom, mommyandme, babystyle, fyp, girlsclothing, pregnanttiktok, girlsdress, pregnantlife, ootd, babylove, foryoupage❤️❤️",61,@Next,4,18200,38,351,1,"""Seasonal Style"""
Your next thrift haul? Half off. ️ #Thrift #Thrifting #SalvationArmy #ThriftStore #Thrifted #ThriftShop #ForYou #FYP #MemorialDay #MemorialDaySale,2025-05-23,"thrift, thrifting, salvationarmy, thriftstore, thrifted, thriftshop, foryou, fyp, memorialday, memorialdaysale",43,,12,10100,18,150,0,"""Seasonal Style"""
Next home definitely didn’t disappoint  #homedecor #next #shoppinghaul #comeshopwithme #musthaves #fyp ,2025-05-28,"homedecor, next, shoppinghaul, comeshopwithme, musthaves, fyp",1,,9,3578,3,179,0,"""Seasonal Style"""
When will mums ever go out & come home with only stuff for them  #girlmum #haul #next #primark #primarkhaul #nexthaul #shopping #clotheshaul #sahm #mumsoftiktok ,2025-04-01,"girlmum, haul, next, primark, primarkhaul, nexthaul, shopping, clotheshaul, sahm, mumsoftiktok",8,,13,8049,10,500,0,"""Seasonal Style"""
I am impressed with the denim shorts #primark #haul #tryonhaul #holiday #cruise #next #clothes #crochet #trousers #shorts #primarkhaul #newin #summer #primarknewin #nextclothing @Primark @Next ,2025-05-28,"primark, haul, tryonhaul, holiday, cruise, next, clothes, crochet, trousers, shorts, primarkhaul, newin, summer, primarknewin, nextclothing",6,"@Primark, @Next",18,22900,29,505,2,"""Seasonal Style"""
@natalie milano I owe our stash 3 more shirts. Aritzia is next. #haul #zara #roommates #clothinghaul ,2025-05-23,"haul, zara, roommates, clothinghaul",534,@natalie milano,35,63200,238,6431,1,"""Seasonal Style"""
Unbox our next packages with us…an outfit for all the family and our Easter/Spring table decor️ @Next #nexthaul #springhaul #familyhaul #eastertable #tabledecor #springtablescape #fyp #explore ,2025-04-12,"nexthaul, springhaul, familyhaul, eastertable, tabledecor, springtablescape, fyp, explore",1,@Next,12,13000,12,210,1,"""Seasonal Style"""
Huuuuuuuge haul for my vacation next weekend  #haul #shopping #girlytok #pinktok #vacation @Burlington @Victoria’s Secret @VSPINK @Rainbow Shops ,2025-05-25,"haul, shopping, girlytok, pinktok, vacation",0,"@Burlington, @Victoria’s Secret, @VSPINK, @Rainbow Shops",6,1120,5,114,4,"""Style Finds"""
I could shop in @Next all day for my kids clothes!!! I’m obsessed  want to buy it all haha! #clothinghaul #nextkids #next #clothes #haul #fashion #summer #summerwear #kidsclothes #holiday ,2025-05-09,"clothinghaul, nextkids, next, clothes, haul, fashion, summer, summerwear, kidsclothes, holiday",19,@Next,49,74900,117,2866,1,"""Seasonal Style"""
May have brought all of them  #next #nexthaul #hamish #highlandcow #highlandcowsoftiktok #highlandcows #highlandcowlove #fluffy #highlandcoo #nexthamish #nexthighlandcow #homedecor #bathdecor #bathroomdecor #bathroommakeover #ideas #bathroomdecorideas #nextlevel ,2025-01-30,"next, nexthaul, hamish, highlandcow, highlandcowsoftiktok, highlandcows, highlandcowlove, fluffy, highlandcoo, nexthamish, nexthighlandcow, homedecor, bathdecor, bathroomdecor, bathroommakeover, ideas, bathroomdecorideas, nextlevel",3809,,48,221000,569,4217,0,"""Seasonal Style"""
How to save and find our website quickly ❤️mark! #uootd #fyp #viral_video ,2025-03-14,"uootd, fyp, viral_video",1383,,403,293100,3746,3860,0,"""Everyday Style"""
Ladies and gentlemen this my official entry video for the MRPRICEBETHENEXT competition ❤️ @Mr Price fashion @Sphokuhle.n @lukie #mrpricebethenext #mrpricefashion #mrpriceeveryday #model #upcoming #fashion #fashiontiktok #goviral #fypppppppppppppppppppppppp ,2025-05-09,"mrpricebethenext, mrpricefashion, mrpriceeveryday, model, upcoming, fashion, fashiontiktok, goviral, fypppppppppppppppppppppppp",117,"@Mr Price fashion, @Sphokuhle.n, @lukie",351,225400,393,24600,3,"""Style Finds"""
5 shoes you need in your next haul #fyp #dhg #sneakerhaul #sneakers #sneakerhead #budgetfinds ,2025-03-21,"fyp, dhg, sneakerhaul, sneakers, sneakerhead, budgetfinds",54,,51,31000,367,1845,0,"""Summer Trends"""
Instagram- chenade_williamsx for links.     Whoohoo a clothes haul for ME! Not only are @nextofficial killing it for kids clothes but also for women’s #Wales #under10k #coloutful #quirky #nexthaul #curvyfashion #mumfashion #mumoutfits #springfashion #next2025 ,2025-04-20,"Wales, under10k, coloutful, quirky, nexthaul, curvyfashion, mumfashion, mumoutfits, springfashion, next2025",335,,62,80200,445,2235,0,"""Seasonal Style"""
I fear this is the BEST haul to date ✨✨@Next #nexthaul #fashion #haul #plussizeuk #plussize #next ,2025-05-11,"nexthaul, fashion, haul, plussizeuk, plussize, next",81,@Next,52,89000,310,2580,1,"""Seasonal Style"""
"Remy needed a few new bits so I made a next order, they have some super cute stuff on there atm  #next #nexthaul #kidsclothes #disney #disneyclothes #autism #autismoftiktok ",2025-02-17,"next, nexthaul, kidsclothes, disney, disneyclothes, autism, autismoftiktok",5,,52,12500,14,278,0,"""Seasonal Style"""
Next haul at 30 weeks pregnant! Feel like I found some proper cute bits today that I will be able to wear postpartum too!   @Next  #maternityfashion #pregnancyfashion #pregnancyjourney #thirdtrimesteroutfit #thirdtrimester #pregnancyhaul #maternityhaul #nexthaul #mumfashion #pregnancyoutfits ,2025-02-11,"maternityfashion, pregnancyfashion, pregnancyjourney, thirdtrimesteroutfit, thirdtrimester, pregnancyhaul, maternityhaul, nexthaul, mumfashion, pregnancyoutfits",5,@Next,26,29400,79,673,1,"""Seasonal Style"""
Dressing your children in the same clothes >>> #next #nexthaul #nextkidshaul #nextkids #kidshaul #haul #clothinghaul #kidsclothes #boymom #momof2 ,2025-04-19,"next, nexthaul, nextkidshaul, nextkids, kidshaul, haul, clothinghaul, kidsclothes, boymom, momof2",6,,17,21600,21,908,0,"""Seasonal Style"""
Colourful clothing haul from @Next for my one year old daughter! Everything is a keeper!! Plus a sneaky pink jacket for me  #nextclothing #clothinghaul #toddlerclothing #colourfulclothing #mumlife ,2025-05-20,"nextclothing, clothinghaul, toddlerclothing, colourfulclothing, mumlife",25,@Next,38,11600,53,440,1,"""Seasonal Style"""
"""Being Miss Uganda was amazing"" Dr. @janmukiibi, former Miss UG-UK (2017-2018), shares her experience, and some of her work. #NextGenQueens #NextWomensMonth #NextMorningSwitch #NextRadioUG",2025-03-04,"nextgenqueens, nextwomensmonth, nextmorningswitch, nextradioug",775,,1477,821800,3052,60100,0,"""Seasonal Style"""
"Next home game April 26 , Coppell TX. You coming? #beElite #wnfc @WNFC #womenstacklefootball ",2025-04-07,"beelite, wnfc, womenstacklefootball",8283,@WNFC,2697,477000,3810,76900,1,"""Summer Trends"""
"The next superstar girls basketball player! Meg Moore from Tishomingo County, Mississippi is going to be the next big thing! She is already player of the year as a freshman and is receiving D1 offers from almost every big school!  #megmoore #girlsbasketball #sec #d1 #mississippi #womensbasketball #hoops #next #superstar",2025-05-10,"megmoore, girlsbasketball, sec, d1, mississippi, womensbasketball, hoops, next, superstar",580,,65,59200,128,2233,0,"""Seasonal Style"""
23 and 34 are back on the court next season I can't wait to see them play tg (this is not a ship btw) #Morgancheli #ayannapatterson #uconnhuskieswomensbasketball #uconnwbb tags :@B˚. ᵎᵎ @Gray (Jana’s version) @S+C @☆. @ʍɛʀ @ꨄ @ash ୨ৎ @ℳ☘︎︎ @ken˚⋆ @bribri ᵎᵎ ˎˊ˗ @cierra ♱ @emeraldsita @jai @janissloveswbb @Jujuonthebeat @layah ౨ৎ ⸆⸉  ོ @les @miah @moneymartin..cc @morgan ★ @v @wbb⋆✿°. @ @✝️ ,2025-05-27,"morgancheli, ayannapatterson, uconnhuskieswomensbasketball, uconnwbb",174,@✝️,27,77300,1868,16400,1,"""Everyday Style"""
This is what changing the game looks like.  • The next generation of fans.  #thegist • (c/o @mallydupes via TikTok) • #womenssport #basketball #wnba #womensbasketball #paigebuckers #dallaswings,2025-05-28,"thegist, womenssport, basketball, wnba, womensbasketball, paigebuckers, dallaswings",3,@mallydupes,0,1859,8,285,1,"""Everyday Style"""
the next pa(i)ge in the book of bueckers. | #uconnwbb #wbb #WNBA #paigebueckers #azzifudd #kkarnold #fyp #paigebueckersedit #uconn #wcbb #MarchMadness #womensbasketball #wnbadraft ,2025-04-18,"uconnwbb, wbb, WNBA, paigebueckers, azzifudd, kkarnold, fyp, paigebueckersedit, uconn, wcbb, MarchMadness, womensbasketball, wnbadraft",1889,,176,201600,11500,53000,0,"""Seasonal Style"""
Nebraska women’s basketball is inspiring the next generation ♥️ Happy National Girls and Women in Sports Day. #huskers #nebraska #nebraskatok #womensbasketball #NGWSD #womenssports ,2025-02-05,"huskers, nebraska, nebraskatok, womensbasketball, ngwsd, womenssports",61,,7,31600,67,3534,0,"""Everyday Style"""
"Let’s step up as the women leaders we wished for, guiding and uplifting the next generation to shine in the workplace with confidence and support. We really can make a real difference!  #WomenInLeadership #EmpowerTheFuture #Risiihinvestments",2025-05-28,"womeninleadership, empowerthefuture, risiihinvestments",0,,2,765,2,72,0,"""Everyday Style"""
playoffs next week #football #womenstacklefootball #womensfootball #wnfc #playoffs #training #workout #plyometrics ,2025-05-28,"football, womenstacklefootball, womensfootball, wnfc, playoffs, training, workout, plyometrics",4,,11,8900,21,507,0,"""Summer Trends"""
i was not expecting this on my tuesday morning i can’t believe and dread to think who’s next #maryearps #fyp #womensfootball #football #lionesses #wembley #wsl #woso #foryoupage ,2025-05-27,"maryearps, fyp, womensfootball, football, lionesses, wembley, wsl, woso, foryoupage",465,,73,70400,1294,15000,0,"""Everyday Style"""
"Today included a speed and a little ball session. Working 7:45am-17:15 pm is making hard to fit the session in, but we keep working #fyp #footballtiktok #womensfootball #nextseason #footballvideo ",2025-05-29,"fyp, footballtiktok, womensfootball, nextseason, footballvideo",0,,0,737,3,78,0,"""Everyday Style"""
"In our Rising Women series we highlight the next best talent from around the world. In this segment we’ll cover artists from Philippines , Indonesia , Vietnam , Thailand  @bini_ph | @naykillas | @vstraofficial | @milliyormlenlaew #RisingWomen #WHM #WomensHistoryMonth #Philippines #Indonesia #Vietnam #Thailand #BINI #naykillas #VSTRA #MILLI",2025-03-28,"risingwomen, whm, womenshistorymonth, philippines, indonesia, vietnam, thailand, bini, naykillas, vstra, milli",606,"@bini_ph, @naykillas, @milliyormlenlaew",173,2200000,2450,64500,3,"""Seasonal Style"""
"low back edit drops wednesday, may 28th ✨ fresh styles. bold summer colors. next-level fits.  this one hits different –mark your calendars @the_french_fit #womensbest #fyp",2025-05-28,"womensbest, fyp",1,@the_french_fit,1,1487,4,50,1,"""Seasonal Style"""
"Imagine if every woman hyped up the next—liked, commented, shared. We’d all be winning. Let’s stop scrolling past and start showing up.  #WomenSupportingWomen #CommunityOverCompetition #fy #fyp #foryoupage #islanddays #cartalks #cartalk #ontheroadto10k #iwanttogoviral #vira ",2025-05-26,"WomenSupportingWomen, CommunityOverCompetition, fy, fyp, foryoupage, islanddays, cartalks, cartalk, ontheroadto10k, iwanttogoviral, vira",5710,,12200,164200,7481,22300,0,"""Everyday Style"""
 Did you know? Your chances of getting pregnant are highest during ovulation – typically 14 days before your next period.  Track your cycle. Know your body. Boost your chances! #FertilityFacts #OvulationWindow #TryingToConceive #WomensHealth #painflame #gynaecologistadvice #fyp #ladydoctor #fyp ,2025-05-29,"fertilityfacts, ovulationwindow, tryingtoconceive, womenshealth, painflame, gynaecologistadvice, fyp, ladydoctor, fyp",35,,5,9124,41,197,0,"""Everyday Style"""
that woman deserves a peaceful transition into the next life or whatever she believed in. ##america##usa##fyppppppppppppppppppppppp##usa##greenscreen##georgia##womensrights##women##abortionrights##abortionisessentialhealthcare##roevwade,2025-05-18,"america, usa, fyppppppppppppppppppppppp, usa, greenscreen, georgia, womensrights, women, abortionrights, abortionisessentialhealthcare, roevwade",6007,,8195,2700000,14600,321400,0,"""Summer Trends"""
The NDC women's organizers are set to embark on a massive demonstration next week. #Letswatchit ,2025-05-15,letswatchit,130,,195,46300,111,1685,0,"""Seasonal Style"""
Nahh Guys you can do better .. we’re supposed to be protecting females than endangering themnext thing females will fear to be around places where’s there’s men#justice #deppresiøn #trauma #sadstory #sadvibes #womensrights #sadstory ,2025-05-29,"justice, deppresiøn, trauma, sadstory, sadvibes, womensrights, sadstory",0,,4,1230,2,151,0,"""Everyday Style"""
"When we say ‘just relax,’ and you take it to the next level…  #PhysioLife #WomensHealth #PelvicFloorPhysio",2025-05-28,"physiolife, womenshealth, pelvicfloorphysio",1,,2,18000,5,328,0,"""Everyday Style"""
POV: there’s a teenage boy on the field next to us & your girls get distracted #laxwithlex #lacrosse #girlslacrosse #womenslacrosse #lacrosse101 #lacrossehighlights #lacrossetok #coaching #coach #georgia #lacrossetraining #lacrossecoach #fyp #capcut #teenagers #teenager #teenagegirls #CapCut ,2025-05-19,"laxwithlex, lacrosse, girlslacrosse, womenslacrosse, lacrosse101, lacrossehighlights, lacrossetok, coaching, coach, georgia, lacrossetraining, lacrossecoach, fyp, capcut, teenagers, teenager, teenagegirls, capcut",29,,11,58300,119,3978,0,"""Everyday Style"""
"On 11 April, Women For Change stood at the Union Buildings, carrying more than a symbolic object, we carried the collective grief of a nation. We brought a casket. One that was built 33.8% larger, draped in mourning, and adorned with 5,578 purple beads, - each bead a name, a story, a woman murdered in South Africa in just one year. Inside that casket - the beautiful smiles of some of our sisters we have lost, and the pain of over 150,000 voices who signed our petition, pleading for GBVF to be declared a National Disaster. This campaign wasn’t created for awards - it was born out of heartbreak, out of rage, out of love. To now see it recognised by Ads of the World is deeply moving, not for the spotlight, but because it forces the world to see what our leaders still deny: femicide is South Africa’s real pandemic. Thank you to the amazing team at Edelman Africa and to everyone who poured their heart, creativity, and compassion into this campaign. Our casket will never be buried. It will now travel across cities, towns, and provinces - a solemn protest, a powerful reminder that Women For Change will not stop. We will not be silenced. Not until no woman walks in fear. Not until our cries lead to action. Not until change comes. #womenforchange #UnburyTheTruth #GBVFNationalDisaster #tiktoksouthafrica #womenforchangesa #AmINext #EnoughSaid ",2025-05-28,"womenforchange, unburythetruth, gbvfnationaldisaster, tiktoksouthafrica, womenforchangesa, aminext, enoughsaid",37,,12,3222,34,606,0,"""Everyday Style"""
What do you think we’ll be releasing next?  #fashiontiktok #fashion #streetwear #streetstyle ,2025-04-24,"fashiontiktok, fashion, streetwear, streetstyle",157,,54,128800,1041,18600,0,"""Seasonal Style"""
What should I do next?  #revolve #fashiontiktok #fashionbrands #fyp ,2025-05-19,"revolve, fashiontiktok, fashionbrands, fyp",1315,,80,77700,9930,11300,0,"""Summer Trends"""
This isn't your average launch event.  It's quite a feat—a collision of fashion and fitness from the future.  #HuaweiLaunch #FashionNext ,2025-05-16,"huaweilaunch, fashionnext",3131,,706,20600000,5780,85200,0,"""Seasonal Style"""
