text,hashtags,duration,date,url,commentsCount,title,numberOfSubscribers,viewCount,channelName,likes
"HOLIDAY PREP☀️ | Shop with me at Primark +M&S + Boots & ULTIMATE summer beauty essentials haul!

*Disclamer - I do work with Lookfantastic (ad) / Code - LAURAMLF for £££ off 

Products mentioned:
Beauty of Joseon SPF - https://prf.hn/l/AJyREl4/
Mac lip liner - https://prf.hn/l/kxWLb2N
Maybelline mascara - https://prf.hn/l/meNOWP0
Sol 71 Spray - https://prf.hn/l/XZBjNJR/
Sol bronze glow oil - https://prf.hn/l/6kdwZaz/
Coola SPF50 Guava Mango Spray - https://prf.hn/l/6ZRoDGW/
Loving Tan ultra dark - https://prf.hn/l/KzOdlJX/
Living proof dry shampoo - https://prf.hn/l/JpND3je/
Beauty of Joseon eye cream - https://prf.hn/l/4Pq1VYW/
Morphe setting spray - https://prf.hn/l/JpXONJe/
La Roche-Posay Anti-Shine Sun Protection Invisible SPF50+ - https://prf.hn/l/NdBER1X/
Cerave eye cream - https://prf.hn/l/6naw9me/
Lanolips spf30 - https://prf.hn/l/vwayLVo/

♡ SOCIAL MEDIA
Instagram: misslauragm 
Home account:  lauramitchellhome
Tiktok: misslauragm",,00:43:33,2025-05-28T18:46:15.000Z,https://www.youtube.com/watch?v=YMEam0Gr0vg,14,HOLIDAY PREP☀️ | Shop with me at Primark +M&S + Boots & ULTIMATE summer beauty essentials haul!,218000,3709,Laura Meachem,209
"Hello Everyone:) A visit to MATALAN store to find out what they have new in WOMENS CLOTHING SECTION. They have pretty collection of  TOPS,TROUSERS, Dresses,OUTERWEAR ,T shirts . 
Hope you like the video x  


If you like to watch my videos, kindly hit the like button , Comment if you can, subscribe to my channel and stay tuned for more videos x 

Thankyou to you all who has already subscribed to my channel,  kindly hit the BELL  icon to get notifications about every new uploaded  video xx 

Love, 
Ana   

#matalan    #matalanhaul  #matalanuk   #matalanstore #matalancollection  #newcollection   #newfinds #new  #newspringcollection #haul #haulvideo   #springcollection  #spring  #spring2025   #latestfashiontrends #newspringcollection #tops  #trouser  #outerwear  #haul   #womensfashion #findandshopwithana #fashiontrends #haulvideo  #dresses  #womensclothing  #swimwear  #womensouterwear #outerwear #knittedsweater #springcollection  #april2025 #april   #2025 #springfashion  #tops #trouser #springcollection 

#latestfashiontrends #affordablefashion #fashion #onilneshopping  #spring  
#comeshoppingwithme #womensclothing#womensfashion #newcollection #shoppinghaul #findandshopwithana  #latestfashiontrends #trends  #trending  #trendingfashion  #onlineshoppingchannel #onlineshoppingchannel","#matalan, #trouser, #swimwear",00:15:37,2025-04-30T15:51:07.000Z,https://www.youtube.com/watch?v=EI1TsWZfsqI,10,♦️MATALAN♦️NEW WOMENS CLOTHING COLLECTION AVAILABLE IN STORES WITH PRICESSPRING HAUL♦️APRIL 2025♦️,4030,7068,Find & Shop with Ana,73
"Finally took you to the wonderfully lazy Marks and Spencer's food hall.  Is it the British version of Erewhon? 

_________________________

Thanks for watching, let me know you enjoyed it with subscribing and also give it a thumbs up  

 INSTAGRAM 
  / hannahlricketts  

 Osmo pocket 3 (new camera): https://store.dji.com/uk/product/osmo...
  Sony ZV1 I use the rest of the time: https://www.sony.co.uk/compact-camera...

#london #luxury #travelvlog","#luxury, #london, #travelvlog",00:30:50,2024-07-05T17:00:40.000Z,https://www.youtube.com/watch?v=uGj3_QMUYLE,1646,The Laziest Food Shop In England,332000,620738,Hannah Ricketts,22000
"See discoveries and twists on seasonal favourites this Autumn: http://www.marksandspencer.com/s/food...

The start of autumn signals a great time to head back to the kitchen and experiment with some exciting new recipes. We believe there’s nothing quite so inspiring as the best ingredients, so why not use our fine-quality food to start your very own food adventure.

Hit the subscribe button now to ensure you don't miss on great food tips:
http://www.youtube.com/subscription_c...

About our food
Cook with M&S
Eat Well
Tiny Taste Buds

RECIPES
Brunch
Quick Meals
Starters
Main Courses
Desserts
Vegetarian
Healthy

Facebook:   / marksandspencer   
Twitter:   / marksandspencer   
Instagram:   / marksandspencer   
Pinterest:   / marksandspencer   
Google+: https://plus.google.com/+marksandspencer",,00:01:01,2014-09-01T16:04:52.000Z,https://www.youtube.com/watch?v=PZ4pctQMdg4,762,Adventures In Imagination: M&S Food - TV Ad 2014,103000,4952702,M&S,25000
"Our new slim-cut suit, a modern design that blends seamlessly with your life. From classic workwear tailoring to cutting-edge pieces that smarten up your off-duty occasions, make it a perennially stylish suit.

Shop the looks: http://www.marksandspencer.com/s/men/...

Facebook:   / marksandspencer   
Twitter:   / marksandspencer   
Instagram:   / marksandspencer   
Pinterest:   / marksandspencer   
Google+: https://plus.google.com/+marksandspencer",,00:00:20,2015-09-02T23:13:59.000Z,https://www.youtube.com/watch?v=75nNqaNOYrs,26,M&S Men's Style: The Art of Tailoring - TV AD 2016,103000,610790,M&S,1000
"The wait is over: the new M&S x Kelly Hoppen collection is here.

Facebook:   / marksandspencer  
Twitter:   / marksandspencer  
Instagram:   / marksandspencer  ",,00:00:26,2025-04-03T07:00:19.000Z,https://www.youtube.com/watch?v=O1kEzzQ9VQs,0,M&S x Kelly Hoppen | M&S Clothing & Home,103000,471,M&S,4
"Meet The Ombles! These ultra-tasty chocolate characters are not only deliciously flaky, we love their mischievous personalities. Find them in store now. 

Facebook:   / marksandspencer  
Twitter:   / marksandspencer  
Instagram:   / marksandspencer  ",,00:00:53,2021-03-11T17:41:01.000Z,https://www.youtube.com/watch?v=1taPy6wBC8I,49,The Ombles | M&S FOOD,103000,1165736,M&S,89
"Like subscribe and share 
And also 
Appreciate my hardwork 
Thank you all
.FOLLOW FOR MORE 
INSideuk
.
.uk
#INSideuk

#modestfashion #haul #streetstyle #fashion #trending #fashiontrends #ootd #style #zara #fashionaddict #primark #primarknewcollection 
#marks&spencer
#marksandspencernewcollection
#m&s
#m&ssummercollection
#marks&spencerjauwellerycollectionuk
#hauluk
#nikeuksale
#adidas 
#adidasuksale
#sportsdirect 
#sportsdirectuksale
#modestfashionuk
#poundlanduksale
#meadowhalluksale
#marks&spenceruksalenew
Mark’s and Spencer summer collection sale uk 
#H&Muksale
Nike
Adidas 
Marks and Spencer 
Meadowhall 
Poundland 
Sports direct 
Primark

#HomeInspiration
#HomeMakeover
#HomeTour
#DIYHome
#DecoratingIdeas
#DesignInspiration
#HomeStyling
#InteriorInspo
#RoomMakeover
#Renovation
#DecorTips
#HouseTour
#DesignGoals
#HomeOrganization
#HomeRenovation
#HomeDesignIdeas
#InteriorDecorating
#HomeImprovement
#zara 
#modestfashion 
#FashionGoals #brand #clothing #clothingbrand #decoratingideas 
#trending #modestfashion #ootd #streetstyle #style #bags 
#modestfashion #newfashion #brand #&otherstories #style #styleideas #modestfashion #modestwear #halal #trending #fashionblogger #zaracollection #zaramen #zarahaul #zara #levis #levisdpunks #levisquad #levis501 #hmhaul #hmmenscollection #hmfashion#clarks #shoesaddicted
.
.
.
.
.
.
.
.
#MARKS & SPENCER UK New Arrival 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
Music: Vercetti
Musician: jiglr",,00:34:28,2025-05-29T07:36:55.000Z,https://www.youtube.com/watch?v=mJmokRTwEhE,0,MARKS AND SPENCER COLLECTION COME SHOP WITH ME #INSideuk May 2025,1220,16,INSideUK,0
"I've already reviewed Waitrose Cafe so I'm back today with another supermarket review and this time I'm heading to Marks and Spencer which has been requested by many of you for a while now!

✅ Subscribe:    / @garyeats  
 Merchandise: https://garyeats.com/shop/
✅ Website: https://garyeats.com/
✅ TikTok:   / garyeatsofficial  
✅ Instagram:   / garyeatsofficial  
✅ PayPal: paypal.me/garyeats
 Business Enquiries: contact@garyeats.com

Please send all restaurant recommendations to contact@garyeats.com.",,00:17:23,2025-03-24T18:20:01.000Z,https://www.youtube.com/watch?v=4z5BjG-2lqk,3780,I Review M&S CAFE - DECENT OR DISASTER!?,305000,251002,Gary Eats,12000
"A few simple do’s and don’ts when wearing a suit
http://www.marksandspencer.com/s/men/...

Whether you’re the groom or a guest, we’ve got every outfit covered with our range of smart occasion suits and accessories.

Hit the subscribe button now to ensure you don't miss out:
http://www.youtube.com/subscription_c...

Facebook:   / marksandspencer   
Twitter:   / marksandspencer   
Instagram:   / marksandspencer   
Pinterest:   / marksandspencer   
Google+: https://plus.google.com/+marksandspencer",,00:00:59,2015-04-27T15:38:25.000Z,https://www.youtube.com/watch?v=WPou2ynf9tY,20,M&S Men's Style: How To Wear a Suit – Dos and Don’ts,103000,119349,M&S,691
"Marks & Spencer has revealed that some personal customer data has been stolen in the recent cyber attack, which could include contact details and dates of birth.
 
The British retail giant said personal information taken could also include online order histories, but added the data theft did not include useable payment or card details, or any account passwords.
 
M&S was hit by the cyber attack three weeks ago and is struggling to get services back to normal, with online orders still suspended.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#CyberAttack #BBCNews","#BBCNews, #CyberAttack",00:04:48,2025-05-13T12:15:05.000Z,https://www.youtube.com/watch?v=VVDBmBsp-rc,101,Marks & Spencer says customer data stolen in cyber attack | BBC News,18000000,35503,BBC News,368
"Product Developer James Campbell discusses the delicious and innovative puddings and desserts available at Marks and Spencer.

Shop the M&S Puddings and Desserts here: http://www.marksandspencer.com/l/food...

From our TV adverts to recipes, inspiration or styling tips discover the M&S YouTube channel and subscribe! http://bit.ly/1Flkeqn

Facebook:   / marksandspencer   
Twitter:   / marksandspencer   
Instagram:   / marksandspencer   
Pinterest:   / marksandspencer   
Google+: https://plus.google.com/+marksandspencer",,00:01:47,2016-05-11T10:02:14.000Z,https://www.youtube.com/watch?v=VlcvB0J4_xA,2,M&S Food: Meet the Pudding Maker,103000,10375,M&S,46
,,00:00:12,2025-05-28T09:25:56.000Z,https://www.youtube.com/watch?v=A56T0ignROc,0,M & S STOP MOTION 02,75,0,Movee Merchant,0
,,00:00:14,2025-05-28T09:25:10.000Z,https://www.youtube.com/watch?v=WcL0otKLiCA,0,M & S STOP MOTION 01,75,0,Movee Merchant,0
"Need to pick up lunch for the family? Try our Plant Kitchen Smokehouse No Chicken Wrap, 'no chicken' strips marinated in smoky BBQ sauce with vegan cheese and crunchy slaw on a wheat wrap. #ThisIsNotJust a plant-based lunch... this is plant-based lunching by M&S Food.


YouTube: http://po.st/msyoutube
Facebook: http://po.st/msfacebook
Twitter: http://po.st/mstwitter
Instagram: http://po.st/msinstagram",#ThisIsNotJust,00:00:06,2020-01-21T12:13:48.000Z,https://www.youtube.com/watch?v=8El7Hcffb2o,1,M&S | This Is Not Just Lunch... This Is An M&S Quick & Easy Plant-Based Lunch On The Go,103000,6006,M&S,19
,,00:00:12,2025-05-28T09:30:47.000Z,https://www.youtube.com/watch?v=p3FiABiSJeo,0,M & S STOP MOTIOON 03,75,2,Movee Merchant,0
"With NEW better-for-you snacking options, like our Chilli & Lime Power Protein Nuts, there's something for everyone. #ThisIsNotJust snacking... this is snacking by M&S Food


YouTube: http://po.st/msyoutube
Facebook: http://po.st/msfacebook
Twitter: http://po.st/mstwitter
Instagram: http://po.st/msinstagram",#ThisIsNotJust,00:00:07,2020-01-21T11:50:46.000Z,https://www.youtube.com/watch?v=8D-iDDZ6MHc,0,M&S | This Is Not Just Snacks... This Is M&S Crunchy & Popping Snacking,103000,2718,M&S,7
"Fashion Editor Abby styles M&S new loose linen trousers ready for summer.

► Subscribe to never miss an upload: http://bit.ly/2FufgBS
► Read at Fabulous: https://www.thesun.co.uk/fabulous
► Join us on TikTok:   / fabulousmag  
► Follow us on Instagram:   / fabulousmag  ",,00:00:35,2025-05-29T06:00:30.000Z,https://www.youtube.com/watch?v=O-dJxyy4auo,0,The comfiest linen trousers you need this summer | Fabulous,160000,112,Fabulous Magazine,3
"⭐️ Minnow Pond Tarot ⭐️
 I Do NOT DO PERSONAL READINGS on any platform! Please don't get scammed. 

//Learn To Read Tarot From Me//
⭐️ https://winningpond.com/minnow-pond-t...
 Ultimate Tarot Imagery Course (Free Video)    • Learn To Read Tarot Fast! All 78 Card Mean...  
 Newsletter (free eBook) https://winningpond.com

//DENT Makers// 
Join: https://dentmakers.samcart.com/produc...
Free Course: dentmakersutl.com

//Behind The Scenes//
   • Behind The Scenes Setup Tour For Recording...  

//DONATIONS APPRECIATED//
 Seriously, Thank You!
Please note ""donation"" in the note section:
https://www.paypal.me/chrisreck
https://cash.app/$minnowpond

//FOLLOW ME//
 @MinnowPondTarot  
  / minnowpondtarot  
  / minnowpondtarot  
  / minnowpond  
https://x.com/minnowpond
Newsletter https://winningpond.com/

 @ChrisReck  
  / realchrisreck  
  / minnowpond  
https://x.com/realchrisreck

~~ LEGAL DISCLAIMER~~
Disclaimer for Tarot Reading Services on YouTube

Please note that the tarot readings provided through our YouTube channel (""Video Readings"") are intended for entertainment purposes only and are not intended to be a substitute for professional advice. The Video Readings are based on the interpretation of the tarot cards and are subjective. They should not be taken as fact or absolute truth, and we do not guarantee their accuracy or reliability. You release us from any and all liability arising from your use of the Video Readings. We are not responsible for any actions you take or do not take based on the Video Readings.

Full legal disclaimer here: https://minnowpond.com/disclaimer/",,00:25:35,2025-05-24T16:00:06.000Z,https://www.youtube.com/watch?v=wX79eoXrceI,76,Scorpio This Is Not Just a Feeling  It’s a Divine Signal! June 2025 tarot,906000,25330,Minnow Pond Tarot,1600
"In this week's Fresh Market Update we visit Earsdon Farm in Northumberland to meet M&S Select Farmer Henry Ryle. A third generation farmer, Henry has high standards of animal welfare, promising high quality product every time, which is why we're proud to work with him. Meet Henry.

YouTube: http://po.st/msyoutube
Facebook: http://po.st/msfacebook
Twitter: http://po.st/mstwitter
Instagram: http://po.st/msinstagram",,00:01:01,2019-07-29T10:51:31.000Z,https://www.youtube.com/watch?v=HaaIH6kpLgc,0,M&S Food | Fresh Market Update | Select Farms Beef | Episode 1,103000,2814,M&S,17
Meet the Brain Ball - packed with iron and zinc to help keep your brain running smoothly. Now that’s food for thought.,,00:00:30,2025-01-03T10:30:14.000Z,https://www.youtube.com/watch?v=1ue4rGiVULY,0,Brain Ball | M&S Food,103000,7423,M&S,49
