text,hashtags,duration,date,url,commentsCount,viewCount,title,numberOfSubscribers,channelName,likes
,,00:15:06,2025-04-26T15:53:19.000Z,https://www.youtube.com/watch?v=vfk4fJ6MTxo,0,796,NEXT NEW DRESSES| APRIL 2025| Gazingpearl Life #gazingpearllife #next #haul #dresses #shopping,4410,GazingPearl Life,11
"M&S HAUL 2025 | NEXT HAUL | and other outlet shopping
Hi everyone,

I popped into marks and spencer for a change and i picked up some new cleaning products, homewares, lingerie and beauty bits. I was so impressed with all of my new purchases and cant wait to use them.

Hope you enjoy this m&s haul

Emily xx
instagram: @projectmumx

projectmumyt@gmail.com",,00:18:02,2025-04-24T16:00:24.000Z,https://www.youtube.com/watch?v=HdSrUCImWh8,11,4631,M&S & NEXT HAUL (and more!) | OUTLET SHOPPING,12400,Project Mum,228
"A big warm welcome to my channel 

I am Claire a 40 something wife and Mum of two gorgeous boys. 

Today I’m bring you a Next Summer try on haul I’m currently shopping for my holiday which is rapidly approaching.

Sizing reference 
I am a size 14 
Height 5ft 11 
Bust 34G 

All clothes in today’s vlog are from Next current stock purchased end of April 25. Size 14 the trousers are tall which is longer then next long.

Hope you enjoy 
Claire 





#nextclothing 
#next #mumstyle #tallgirlstyle #tallhaul #clothinghaul #holidaystyleinspo #summerfashion #40somethingstyle #midsizefashion #midsizestyle #tryon 
#haul 
#nexthaul 
#clairemariehoward #curvygirloutfits",,00:19:08,2025-04-28T17:00:30.000Z,https://www.youtube.com/watch?v=GcLYpZlAtWs,39,4020,Next Summer Holiday Haul / Midsize Tall try on #midsize fashion #nexthaul,6390,Claire Marie Howard,166
,,00:15:16,2025-04-12T11:44:16.000Z,https://www.youtube.com/watch?v=lJe40dfQers,0,2510,NEXT NEW ACCESSORIES| APRIL 2025| Gazingpearl Life #gazingpearllife #next #haul #shopping#fashion,4410,GazingPearl Life,25
Latest shoes  collection at NEXT❤️ || Noor Scotland ||,,00:04:12,2023-08-25T17:56:22.000Z,https://www.youtube.com/watch?v=10QOkFQNDeI,0,41,Latest shoes  collection #nexthaul #noorscotland,1180,Noor Scotland,3
"Next Women bags New Collection #march2022 | Shop With Me | Next Haul

#next 
#comeshopwithme #shopwithme #nexthaul
#vlog",,00:01:51,2022-03-04T20:30:02.000Z,https://www.youtube.com/watch?v=AL31Lo_bYsM,1,243,Next Women bags New Collection #march2022 | Shop With Me | Next Haul,3060,Window Shopping,4
Latest 2023 collection / women’s clothing / next haul / Noor Scotland ❤️,,00:15:13,2023-09-05T17:10:52.000Z,https://www.youtube.com/watch?v=UM7NhVACNa8,0,31,Latest collection 2023#womensclothing#nexthaul#noorscotland,1180,Noor Scotland,2
"Thank you for clicking on my video. 

please like subcribe and feel free to leave any comments, good or bad as you know, I will only learn from you beautiful lot.

if you would like to follow me on instagram  I'm at @angelicafenney 

A little next haul/try on 
#haul #tryon #tryonhaul #next #nexthaul",,00:08:19,2022-03-12T17:06:13.000Z,https://www.youtube.com/watch?v=9pOQdNZ2E1U,3,389,#nexthaul #haul #tryon A little Next haul/ try on March 2022,2960,The curvy dreamgirl Angelica.,8
"Thankyou for watching. If you like my videos please LIKE, SHARE & SUBSCRIBE.
Your Queries:-
next 2023
march 2023
next haul 2023
fashion trends 2023
next what's new in 2023
next new in march 2023
shop with me 

#youtube #shoppersworld #video #next #nexthaul #march2023 
#whatsnewinnext",,00:13:43,2023-03-17T17:00:26.000Z,https://www.youtube.com/watch?v=Q7BtK3VlPiw,2,772,NEXT'S NEW WOMEN COLLECTION || MARCH 2023 #next #nexthaul,728,Shoppers world,6
"JustTrae - ""Next"" (OFFICIAL MUSIC VIDEO)

""The Grind Album"" 
https://song.link/TheGrind

Follow me:
  / therealjust.  .
  / justtraemusic  

Music:
https://open.spotify.com/artist/0IqKl...
  / artist  .

For Booking/Features : BookingJustTrae@Gmail.com

#JustTrae #CreekSquad #upchurch","#upchurch, #CreekSquad, #JustTrae",00:02:59,2023-05-26T14:00:07.000Z,https://www.youtube.com/watch?v=cR0uX-ps9xI,163,36368,JustTrae - Next (OFFICIAL MUSIC VIDEO),44400,JustTrae,1100
Broadcasted live on Twitch - Watch live at   / minibo0  ,,04:36:05,2025-05-04T03:19:49.000Z,https://www.youtube.com/watch?v=R_KYqGjxhkk,0,23,Heretics MiniBoo | Ranked | Latest yt vid - !vid | !nextofficial,8,Valorant Vods,2
"Christopher Ladex - NEXT is out now!
Enjoy my NEXT! I Hope You Like It!

All My Music - https://linktr.ee/christopherladex 

YouTube: https://www.youtube.com/@christopherl...
Spotify: https://open.spotify.com/artist/1WkuX...
Amazon Music: https://music.amazon.com/artists/B0B2...
Apple Music:   / christopher-ladex  
SoundCloud:   / christopherladex  


FOLLOW ME:
Facebook:   / christopher-ladex-112160971512782  
Instagram:   / christopherladex  
TikTok: https://www.tiktok.com/@christopher.l...

#music #edm #bass #dj #next #christopherladex","#edm, #dj, #bass",00:02:46,2023-08-30T16:00:20.000Z,https://www.youtube.com/watch?v=O3mcXbRYfBU,21,341780,Christopher Ladex - NEXT (Official Audio),21600,Christopher Ladex,1600
"KXNG CROOKED ""GOOD VS EVIL"" AVAILABLE FOR PRE-ORDER NOW

https://itunes.apple.com/us/album/goo...

AVAILABLE WORLDWIDE DIGITALLY ON 11-11 WITH GUEST COMMENTARY FROM EMINEM - RZA - TECHN9NE - XZIBIT - JUST BLAZE - SAS - AND MORE!!

NEW WEBSTORE LIVE NOW! VISIT WWW.KXNGCROOKED.COM 

""NEXT"" [OFFICIAL VIDEO FROM VALLEY OF THE KXNGS]

KXNG CROOKED REMARKS...

“I took all my anger and disappointment in current events and transformed it into art,” Crooked said of the upcoming project. “I designed an alternate reality where politicians are puppets controlled by ‘The Puppet Master’ and police are A.I. robots programmed to kill lower class citizens. Sounds familiar, but in this ‘Planet X’ reality the poor citizens create a movement and ‘Shoot Back.’

LISTEN TO ""VALLEY OF THE KXNGS"" EP HERE featuring ""NEXT"":

  / kxng-crooked-valley-of-the  ",,00:04:04,2016-11-10T18:58:26.000Z,https://www.youtube.com/watch?v=wAjjqavqc9c,46,26661,KXNG CROOKED - NEXT [Official Music Video] Dir by Crime City Films,625,Forever COB,634
"Welcome to my channel❤️

IGN - SRxDeadSHOT
I’d- 51399292523
Device - Iphone 13

Insta- https://instagram.com/ig_deadshot8638...

Subscribe Please ♥️…….


#BGMIEsports
#PUBGTournament
#BGMIProPlayer
#ClutchGod
#GodlikeEsports
#SoulvsGodlike
#BGMIClutch
#BGMIIndiaKaGame
#BGMIisBack
#BGMI2025
#IndianGamers
#BGMIUnban","#BGMIEsports, #PUBGTournament, #BGMIProPlayer",00:05:23,2025-05-28T19:12:59.000Z,https://www.youtube.com/watch?v=ciZhcfbQvXw,3,21,Grinding For Next Official || Iphone 13 || Deadshot Gaming,57,Deadshot Gaming,5
"Pablo Kell - Up Next (Official Video) Shot By  @FlackoProductions  
Pablo Kell - Up Next (Official Video) Shot By  @FlackoProductions  
Pablo Kell - Up Next (Official Video) Shot By  @FlackoProductions  

#PabloKell #UpNext #Independent",,00:02:09,2021-03-26T00:54:56.000Z,https://www.youtube.com/watch?v=ul2ZehI7awE,33,74392,Pablo Kell - Up Next (Official Video) Shot By ‪@flackoproductions‬,2740,Pablo Kell,628
Directed By @freshshotmedia ✈️ Follow me on IG @iamhoodhuncho ✈️Prod by. @pablomcr_,,00:02:42,2021-03-07T18:41:44.000Z,https://www.youtube.com/watch?v=mk5lvhW1Vlw,64,8743,Hood Huncho - Got Next (Official Music Video),157,Hood Huncho,171
"Official Music Video - My nEXt 

“KenBin: The EP” is now available on ALL MUSIC PLATFORMS 12/24/19 

Artist: KenBin

Instagram: @officialkenbin

Videographer: Jamil Asadov @jamalfilmofficial

Produced: Mook Got The Keys Jumping @mookgotthekey

Engineer: Bandman Kae 

#KenBin #MynEXt #Dubai

Copyright (C) 2019 My nEXt",,00:02:54,2019-12-16T20:22:50.000Z,https://www.youtube.com/watch?v=P1Xbcf8L7kU,12,65377,KenBin - My nEXt (Official Music Video),610,KenBin,144
"Switch to NEXT™ & Save on your Business Insurance.
Simple. Affordable. Tailored.

Get Your Free Quote in 5min on Our Website:
https://www.nextinsurance.com
Live Certificate. Fast, Free, 24/7. Right from your phone.
https://www.nextinsurance.com/certifi...
Contractors Insurance
https://www.nextinsurance.com/industr...
Workers’ Compensation Insurance
https://www.nextinsurance.com/coverag...
Professional Liability / E&O Insurance
https://www.nextinsurance.com/coverag...
Tools & Equipment Insurance
https://www.nextinsurance.com/tools-a...
Bundle & Save
https://www.nextinsurance.com/bundle

#nextinsurance  #businessinsurance  #smallbusiness  #insurance  #contractorsinsurance  #entrepreneur #businesstips #smallbusinesstips","#smallbusiness, #businesstips, #smallbusinesstips",00:00:46,2023-09-30T18:06:25.000Z,https://www.youtube.com/watch?v=bVzyFHLQ00o,2,2639166,The Weight of Responsibility | NEXT Official Commercial 2023,6130,NEXT Insurance,44
"""nEXt"" is featured on Sevyn's debut EP, ""Call Me Crazy, But..."" Download the EP now on iTunes http://smarturl.it/callmecrazybut


http://sevynstreeter.com
  / sevyn  
  / sevynstreeter  
  / sevyn  ",,00:04:10,2014-01-24T22:57:47.000Z,https://www.youtube.com/watch?v=Vmz47Bxmkls,1054,3807736,Sevyn Streeter - nEXt [Official Audio],1140000,Sevyn Streeter,35000
"CMPND's NEW LP 'LONG LIVE THE COURT' IS OUT NOW: https://highfocus.lnk.to/CMPNDLLTC
Subscribe to HighFocusTV and never miss another video: http://bit.ly/1xuR8Gj

High Focus Records is proud to present CMPND - ‘Screwed’ Featuring Bil Next, just one of the countless bangers available on their most recent offering ‘Long Live The Court’.

Visuals by LookAt TV - @lookatahtv
Filmed by Josh Flowers - @joshsflow

CMPND on TT:   / cmpndtnt  
CMPND on IG:   / cmpndtnt  
CMPND on FB:   / cmpndtnt  

HF: http://www.high-focus.com 
YT:    / highfocustv   
FB:   / highfocus   
TT:   / highfocusuk   
IG:   / highfocusrecords  ",,00:03:14,2022-12-22T10:44:41.000Z,https://www.youtube.com/watch?v=gh2HRP7hFB4,122,73113,CMPND - Skrewed Feat. Bil Next (OFFICIAL VIDEO),390000,HighFocusTV,1400
"Stream PGF Nuk ""The Next"" On All Platforms: 
https://pgfnuk.lnk.to/TheNext

Follow PGF Nuk:
Instagram: https://pgfnuk.lnk.to/instagram

Listen to PGF Nuk:
Apple Music: https://pgfnuk.lnk.to/applemusic
Spotify: https://pgfnuk.lnk.to/spotify
SoundCloud: https://pgfnuk.lnk.to/soundcloud

Subscribe: https://pgfnuk.lnk.to/youtube
#PGFnuk #TheNext","#TheNext, #PGFnuk",00:01:33,2023-04-19T21:00:08.000Z,https://www.youtube.com/watch?v=AB8DaaJWl8s,473,536082,PGF Nuk - The Next (Official Video),492000,PGF NUK,12000
"Nous vous invitons à célébrer la nouvelle année lors d'un after work. Ce sera l'occasion de découvrir le Concept Store de Cotton Cake distribuant des produits des membres de notre réseau.

Au programme : 

-Présentation des projets 2017 de The Next Women 
-Lancement des programmes de membership (vous bénéficirez d'une réduction en vous inscrivant sur place)
-networking",,00:02:39,2017-01-22T15:21:40.000Z,https://www.youtube.com/watch?v=geng7JCtg_U,0,144,New Year With  -The Nextwomen-,548,Twins Prod,5
"CMT executive Leslie Fram hosts this showcase and discussion featuring recording artists and songwriters Priscilla Block, Ashland Craft, Miko Marks, Lily Rose, and Hailey Whitters, all involved in CMT’s ""Next Women of Country"" campaign, which highlights up-and-coming female country artists.",,00:29:40,2022-07-20T00:00:09.000Z,https://www.youtube.com/watch?v=eEc5kW_mZUg,20,9131,"‘CMT’s Next Women of Country’ ‘Live at the Hall,’ 2022",55200,Country Music Hall of Fame and Museum,168
,,00:03:14,2023-11-18T05:00:03.000Z,https://www.youtube.com/watch?v=8Nnr868vzXk,19,705,NoLz - Next [Official Music Video] (shot by: treyphd),695,NoLz,70
"This is a cozy adventure and puzzle solving game where you play as a young girl, in the 1970's of France. Together with your pet rat which is also your best friend, you escape an evil orphanage, go on a journey to find your parents and along the way you solve puzzles and stealth past enemies.

Play the demo right now: https://store.steampowered.com/app/35...

Join the Dandelion Developers Discord! -   / discord  
Wishlist the game - https://store.steampowered.com/app/31...",,00:01:11,2025-02-19T15:44:54.000Z,https://www.youtube.com/watch?v=T48dkXyVaZc,6,195,What Comes Next - Official Demo Trailer,52,Dandelion Developers,16
"Listen to the single ""What Goes Next"" Out Now!
Stream: 

#QuinNFN  #WhatGoesNext  #EMPIRE



Official Audio by Quin NFN - ""What Goes Next"" © 2023 NFN Entertainment / EMPIRE","#EMPIRE, #QuinNFN",00:02:31,2023-11-17T05:01:18.000Z,https://www.youtube.com/watch?v=GNhka8ch1TQ,210,227759,Quin NFN - What Goes Next (Official Video),395000,Quin NFN,8000
"Join My Discord!   / discord  

Only 6 days away! I'm so excited! Let me know what you guys think in the comments section below! 

Leave A Like For More Videos, It Really Helps Me Out A Lot!

G2A Link,
https://www.g2a.com/r/pschamber

Last Video,
   • Fortnite: Battle Royale - THE 'PLAYGROUND'...  

Follow Me On Twitch,
  / pschamber  

Follow Me On Twitter,
  / xxpschamberxx  

Subscribe To My Vlog Channel,
   / @pschambervlogs7737  

My Website,
playstationchamber.weebly.com",,00:01:50,2018-07-18T14:58:54.000Z,https://www.youtube.com/watch?v=iv2dxDe42hY,9,20,No Man's Sky - NEXT Official Trailer,251,PSChamber,1
"Stream with Spotify: http://sptfy.com/Ccw

Facebook:   / standupstacyofficial  
Instagram:   / standupstacy  
Web: https://www.standupstacy.com
Kamera: Quirin Grimm, David Hennen",,00:03:39,2014-05-16T20:26:55.000Z,https://www.youtube.com/watch?v=31bLxNX1IPE,7,5203,Next (Official Music Video) - Stand Up Stacy,702,Stand Up Stacy,95
"SOUNDCLOUD
  / nino-brotha-g5gq  
SUBSCRIBE*

VIEW More 2G ON WORLDSTAR
http://www.worldstarhiphop.com/videos...


Follow: Instagram 

@_G.Q_ 
@_Gfive_
@jerzeynelz

Filmed By 
@theprimeprodigy",,00:03:26,2018-01-01T22:14:03.000Z,https://www.youtube.com/watch?v=7GVlp8LHthg,5,2304,G5 & GQ Feat Nelz - NEXT (Next Official Music Video),3150,DA CONNECTION,43
"Huawei HarmonyOS NEXT Official Now: Bring Spatial Design and Vivid Color Concepts

https://sparrowsnews.com/2024/01/18/h...",,00:00:45,2024-01-18T09:22:14.000Z,https://www.youtube.com/watch?v=2YR5M9sMEKM,92,63825,Huawei HarmonyOS NEXT Official Introduction,79000,Sparrows News,746
"Subscribe for more official content from Jacoby James
Connect with Jacoby James:
https://linktr.ee/jacobyjames
#JacobyJames #whatsnext


Mix and Mastering // @Daniel Rivera 
Producer // ​⁠​⁠‪@prodbyiof‬ 
Guitars Composed/Recorded // @Isaac Holmes
Lyrics // Jacoby Trosclair","#whatsnext, #JacobyJames",00:03:01,2024-09-22T04:40:33.000Z,https://www.youtube.com/watch?v=oZifsser_8A,13,1220,Jacoby James - what's next (Official Audio),1480,Jacoby James,55
,,00:01:36,2022-05-20T16:33:22.000Z,https://www.youtube.com/watch?v=trFfSENwHj0,0,5,"The next official teaser trailer of the animated series ""BAY MAX"". Premiere June 29 at Disney +.",16,Marvel Official,1
"We are happy to share the official music video of our Indie Folk Rock song ""Next"", from our new EP ""First Seeds"" available on all music streaming platforms. Enjoy!

CREDIT VIDEO: NAPS HART
CREDIT MASTERING: STUDIO TRIPHON

Subscribe to our YouTube channel:
   / @wildationofficial  

FOLLOW US:
Instagram:   / wildationofficial  
Facebook:   / wildationofficial  
LinkedIn:   / wildationmusic  

Our EP ""First Seeds"":
https://fanlink.to/Wildation

Visit our website:
www.wildation.com

Contact us:
Wildationmusic@gmail.com",,00:03:25,2020-08-10T15:37:55.000Z,https://www.youtube.com/watch?v=QDCJd915V7o,4,1636,WILDATION - NEXT (Official Music Video),438,Wildation Official,40
